ABBREVIATION	COUNT_NOT_MISSING	PERCENTAGE_NOT_MISSING	COUNT_MISSING	PERCENTAGE_MISSING	COUNT_TOTAL
s-aldol	10507	0.0014%	1699	0.00022%	12206
s-yersaba	503	0.0001%	1697	0.00022%	2200
pt-gluk-r2	251	0.0000%	1696	0.00022%	1947
b-gluk	6933	0.0009%	1692	0.00022%	8625
sy-lymf	2630	0.0003%	1691	0.00022%	4321
s-lipidit	451	0.0001%	1690	0.00022%	2141
s-li	67268	0.0087%	1687	0.00022%	68955
s-testo-vl	4033	0.0005%	1684	0.00022%	5717
koivu	2920	0.0004%	1682	0.00022%	4602
s-hbe	244	0.0000%	1672	0.00022%	1916
cb-o2hb	45399	0.0059%	1670	0.00022%	47069
s-prl	107550	0.0139%	1660	0.00021%	109210
s-goodpk	961	0.0001%	1656	0.00021%	2617
pf-gluk	15929	0.0021%	1654	0.00021%	17583
b-laktaat	2022	0.0003%	1648	0.00021%	3670
s-golimab	227	0.0000%	1632	0.00021%	1859
b-pb	2083	0.0003%	1629	0.00021%	3712
p-ohbutyr	4660	0.0006%	1627	0.00021%	6287
ts-pad-0	846	0.0001%	1624	0.00021%	2470
am-trinho	353	0.0000%	1621	0.00021%	1974
fl-flagnat	482	0.0001%	1619	0.00021%	2101
cb-hbo2sat	105313	0.0136%	1613	0.00021%	106926
s-rjugr3e	1647	0.0002%	1612	0.00021%	3259
s-ia2ab	1524	0.0002%	1607	0.00021%	3131
s-dengabm	116	0.0000%	1606	0.00021%	1722
li-sameus	665	0.0001%	1605	0.00021%	2270
ab-het-oks	538	0.0001%	1596	0.00021%	2134
trim	122	0.0000%	1596	0.00021%	1718
non-hdl	54914	0.0071%	1595	0.00021%	56509
ab-thb	257729	0.0333%	1591	0.00021%	259320
s-hepbc	128	0.0000%	1590	0.00021%	1718
s-rbere1e	4554	0.0006%	1589	0.00021%	6143
s-ebnaab	1227	0.0002%	1587	0.00020%	2814
s-leu-es	289	0.0000%	1577	0.00020%	1866
s-chtrabm	109	0.0000%	1573	0.00020%	1682
du-urea	2222	0.0003%	1568	0.00020%	3790
b-rotem	213	0.0000%	1562	0.00020%	1775
s-gangab	156	0.0000%	1562	0.00020%	1718
s-estdiol	4905	0.0006%	1561	0.00020%	6466
s-chlaab	108	0.0000%	1560	0.00020%	1668
s-hepabc	179	0.0000%	1550	0.00020%	1729
-pikacrp	849	0.0001%	1547	0.00020%	2396
p-b2gpabm	222	0.0000%	1547	0.00020%	1769
pf-cea	2495	0.0003%	1544	0.00020%	4039
s-sappih	24682	0.0032%	1542	0.00020%	26224
s-muskab	388	0.0001%	1542	0.00020%	1930
s-cora14e	7309	0.0009%	1541	0.00020%	8850
b-eos%	125584	0.0162%	1535	0.00020%	127119
l-myel-m	10486	0.0014%	1531	0.00020%	12017
crp(hoitaja)	3750	0.0005%	1528	0.00020%	5278
s-kkab	431	0.0001%	1524	0.00020%	1955
s-ascabg	538	0.0001%	1513	0.00020%	2051
s-lzm	67597	0.0087%	1508	0.00019%	69105
s-alb	64611	0.0083%	1503	0.00019%	66114
s-kaurae	1355	0.0002%	1502	0.00019%	2857
li-infaabg	206	0.0000%	1499	0.00019%	1705
timotei	2740	0.0004%	1496	0.00019%	4236
fs-sappih	22152	0.0029%	1495	0.00019%	23647
b-cya-ms	66196	0.0085%	1494	0.00019%	67690
s-psolab	501	0.0001%	1494	0.00019%	1995
b-baso%	59775	0.0077%	1481	0.00019%	61256
pt-gfrekys	11735	0.0015%	1481	0.00019%	13216
li-igg	15011	0.0019%	1480	0.00019%	16491
b-t-cd4	21615	0.0028%	1476	0.00019%	23091
p-k-veka	61255	0.0079%	1475	0.00019%	62730
b-intem	256	0.0000%	1472	0.00019%	1728
u-ni	6956	0.0009%	1470	0.00019%	8426
li-gran	809	0.0001%	1470	0.00019%	2279
s-pincf	3730	0.0005%	1469	0.00019%	5199
s-ascaba	582	0.0001%	1468	0.00019%	2050
p-hcg*	2038	0.0003%	1467	0.00019%	3505
pf-leuk	22430	0.0029%	1466	0.00019%	23896
p-na-veka	61251	0.0079%	1463	0.00019%	62714
glukvieri	6329	0.0008%	1463	0.00019%	7792
sy-prot	2786	0.0004%	1458	0.00019%	4244
l-neut%	158855	0.0205%	1455	0.00019%	160310
sy-neut	8394	0.0011%	1455	0.00019%	9849
ns-neut	878	0.0001%	1455	0.00019%	2333
cb-hco3	115687	0.0149%	1454	0.00019%	117141
li-eryt	57814	0.0075%	1453	0.00019%	59267
b-mono%	46548	0.0060%	1453	0.00019%	48001
hoiglukstx	2353	0.0003%	1452	0.00019%	3805
s-digoks	75556	0.0098%	1447	0.00019%	77003
oma-tnt	195	0.0000%	1440	0.00019%	1635
li-eryt-1	183	0.0000%	1438	0.00019%	1621
u-alb/kre,u-alb/krea	2571	0.0003%	1433	0.00018%	4004
fp-trfesat	171985	0.0222%	1432	0.00018%	173417
s-yersabg	773	0.0001%	1430	0.00018%	2203
u-cr	2939	0.0004%	1426	0.00018%	4365
ca++	155480	0.0201%	1423	0.00018%	156903
vt-hivagab	188	0.0000%	1420	0.00018%	1608
ts-mksyn	296	0.0000%	1419	0.00018%	1715
fl-gyn-hoi	312	0.0000%	1417	0.00018%	1729
s-propgly	545	0.0001%	1416	0.00018%	1961
vb-hetiong	1360	0.0002%	1410	0.00018%	2770
b-heptem	216	0.0000%	1410	0.00018%	1626
pf-mononuk	2857	0.0004%	1405	0.00018%	4262
s-dengabg	337	0.0000%	1403	0.00018%	1740
s-cora9e	7165	0.0009%	1401	0.00018%	8566
vb-be-vt	1245	0.0002%	1401	0.00018%	2646
l-eos-m	25101	0.0032%	1400	0.00018%	26501
l-eos-m	229	0.0000%	1400	0.00018%	1629
s-amyl-is	131	0.0000%	1399	0.00018%	1530
u-huumoct	2747	0.0004%	1395	0.00018%	4142
pf-trigly	1832	0.0002%	1392	0.00018%	3224
s-legiab	140	0.0000%	1391	0.00018%	1531
as-muutsol	793	0.0001%	1389	0.00018%	2182
s-chtrab	171	0.0000%	1384	0.00018%	1555
-listvi	264	0.0000%	1383	0.00018%	1647
li-ada	335	0.0000%	1382	0.00018%	1717
l-lymf%	154529	0.0199%	1381	0.00018%	155910
lisätutkim	446	0.0001%	1380	0.00018%	1826
f-transfo	623	0.0001%	1379	0.00018%	2002
vt-hcvab	233	0.0000%	1378	0.00018%	1611
u-povnh	453	0.0001%	1376	0.00018%	1829
li-bam42	6186	0.0008%	1374	0.00018%	7560
albumiini	14327	0.0018%	1373	0.00018%	15700
ap-gluk	21755	0.0028%	1370	0.00018%	23125
b-gluk(vo.hoitaja)	315	0.0000%	1370	0.00018%	1685
b-leuc-v	3952	0.0005%	1363	0.00018%	5315
p-nkäs10	102	0.0000%	1363	0.00018%	1465
pt-obd-his	821	0.0001%	1360	0.00018%	2181
u-veri-0	480	0.0001%	1357	0.00018%	1837
f-hb-o3	348	0.0000%	1355	0.00017%	1703
ab-o2-sis	7142	0.0009%	1354	0.00017%	8496
u-phv	2813	0.0004%	1353	0.00017%	4166
s-gamma	69894	0.0090%	1352	0.00017%	71246
pf-ph	9473	0.0012%	1351	0.00017%	10824
li-fostau	6064	0.0008%	1349	0.00017%	7413
s-p-ancab	159	0.0000%	1349	0.00017%	1508
s-ca15-3	53327	0.0069%	1346	0.00017%	54673
b-diffi*	655	0.0001%	1346	0.00017%	2001
u-leuko-o	495	0.0001%	1343	0.00017%	1838
b-hbhplc	382	0.0000%	1340	0.00017%	1722
s-pakast5	265	0.0000%	1340	0.00017%	1605
ts-cc	809	0.0001%	1338	0.00017%	2147
b-hfe-d	339	0.0000%	1336	0.00017%	1675
p-kol-hdl	185944	0.0240%	1335	0.00017%	187279
pt-iho-r1	2563	0.0003%	1334	0.00017%	3897
s-ruise	1458	0.0002%	1334	0.00017%	2792
s-evirabg	1811	0.0002%	1333	0.00017%	3144
u-muulier	30966	0.0040%	1326	0.00017%	32292
pf-ld	15568	0.0020%	1322	0.00017%	16890
ruokafx5	739	0.0001%	1322	0.00017%	2061
bm-mgg	132	0.0000%	1322	0.00017%	1454
p-ca(7.4)	31027	0.0040%	1320	0.00017%	32347
li-liuskat	215	0.0000%	1319	0.00017%	1534
s-ige-ss	1708	0.0002%	1313	0.00017%	3021
b-co	13357	0.0017%	1309	0.00017%	14666
bm-mm-ift	399	0.0001%	1308	0.00017%	1707
l-muuta	142	0.0000%	1306	0.00017%	1448
li-ly	1483	0.0002%	1305	0.00017%	2788
s-goodpab	473	0.0001%	1302	0.00017%	1775
s-aldos	11985	0.0015%	1301	0.00017%	13286
s-prealb	182138	0.0235%	1298	0.00017%	183436
s-salmabg	190	0.0000%	1298	0.00017%	1488
p-keto-o	533	0.0001%	1297	0.00017%	1830
di-eos	332	0.0000%	1296	0.00017%	1628
s-rubeab	171	0.0000%	1294	0.00017%	1465
s-gangabm	268	0.0000%	1293	0.00017%	1561
di-ly+mono	289	0.0000%	1289	0.00017%	1578
di-neut	289	0.0000%	1288	0.00017%	1577
e-coombva	108	0.0000%	1288	0.00017%	1396
s-salmaba	191	0.0000%	1286	0.00017%	1477
li-rsvabg	115	0.0000%	1282	0.00017%	1397
p-kol	204957	0.0264%	1281	0.00017%	206238
li-alb	13425	0.0017%	1279	0.00017%	14704
b-ckmbmv	894	0.0001%	1274	0.00016%	2168
p-ca++hoi	690	0.0001%	1273	0.00016%	1963
s-bil-kj	16589	0.0021%	1270	0.00016%	17859
s-ebvavi	4265	0.0006%	1270	0.00016%	5535
s-ada	14716	0.0019%	1262	0.00016%	15978
u-huum-10,ominaispaino	595	0.0001%	1262	0.00016%	1857
muuttutk	144	0.0000%	1261	0.00016%	1405
mb-be	1192	0.0002%	1260	0.00016%	2452
b-tem	659	0.0001%	1259	0.00016%	1918
li-tau	6287	0.0008%	1258	0.00016%	7545
u-jcvnh	540	0.0001%	1254	0.00016%	1794
bm-lmark-h	428	0.0001%	1253	0.00016%	1681
u-bio	160	0.0000%	1253	0.00016%	1413
u-cot	454	0.0001%	1252	0.00016%	1706
l-mono%	58054	0.0075%	1250	0.00016%	59304
b-laktevt	1676	0.0002%	1248	0.00016%	2924
sprkiirlis	1055	0.0001%	1241	0.00016%	2296
l-monos-m	25028	0.0032%	1240	0.00016%	26268
u-huume-6a	105	0.0000%	1238	0.00016%	1343
ap-ca-ion	20974	0.0027%	1236	0.00016%	22210
-rievnho	104	0.0000%	1236	0.00016%	1340
sy-eos	3930	0.0005%	1235	0.00016%	5165
s-parp�h	769	0.0001%	1234	0.00016%	2003
p-hb	16086	0.0021%	1233	0.00016%	17319
f-tricna	2030	0.0003%	1232	0.00016%	3262
b-mito.	3354	0.0004%	1229	0.00016%	4583
b-fidd	11588	0.0015%	1228	0.00016%	12816
pd-baktvi	223	0.0000%	1226	0.00016%	1449
vb-ph-vt	1555	0.0002%	1224	0.00016%	2779
-transf	962	0.0001%	1222	0.00016%	2184
-kat-vi	405	0.0001%	1222	0.00016%	1627
cb-tt-inr	14879	0.0019%	1218	0.00016%	16097
s-c1inh	5459	0.0007%	1216	0.00016%	6675
vb-he-tase,vb-pco2	1030	0.0001%	1216	0.00016%	2246
-stauvi	316	0.0000%	1212	0.00016%	1528
u-tbvi	257	0.0000%	1206	0.00016%	1463
b-nk	21205	0.0027%	1199	0.00015%	22404
u-albkre*	3093	0.0004%	1197	0.00015%	4290
s-gangabg	343	0.0000%	1194	0.00015%	1537
oma,pvk+t	1229	0.0002%	1192	0.00015%	2421
s-pappa	99914	0.0129%	1189	0.00015%	101103
beta2-glob	10470	0.0014%	1189	0.00015%	11659
fs-ct	1398	0.0002%	1185	0.00015%	2583
-ururnho	112	0.0000%	1185	0.00015%	1297
alfa1-glob	10473	0.0014%	1183	0.00015%	11656
s-c4	27439	0.0035%	1179	0.00015%	28618
bm-mrd-all	216	0.0000%	1177	0.00015%	1393
s-salmabm	315	0.0000%	1175	0.00015%	1490
p-lh	19640	0.0025%	1174	0.00015%	20814
s-ohrae	1269	0.0002%	1174	0.00015%	2443
pf-gran	2615	0.0003%	1171	0.00015%	3786
p-c3	37544	0.0048%	1159	0.00015%	38703
p-adennho	277	0.0000%	1159	0.00015%	1436
s-c3	28057	0.0036%	1158	0.00015%	29215
u-bkvnh	642	0.0001%	1156	0.00015%	1798
glukrvalm	329	0.0000%	1155	0.00015%	1484
as-alb	4751	0.0006%	1154	0.00015%	5905
p-c4	37509	0.0048%	1151	0.00015%	38660
-trvaag	286	0.0000%	1151	0.00015%	1437
ts-pad-ih2	280	0.0000%	1151	0.00015%	1431
s-igf1sds	2374	0.0003%	1145	0.00015%	3519
cb-bepika	7221	0.0009%	1144	0.00015%	8365
fb-gluk	2632	0.0003%	1144	0.00015%	3776
s-rubeabm	155	0.0000%	1144	0.00015%	1299
sa-korsol	8778	0.0011%	1139	0.00015%	9917
b-pnh-la	246	0.0000%	1139	0.00015%	1385
s-toxabcf	140	0.0000%	1136	0.00015%	1276
pf-lymf	1121	0.0001%	1135	0.00015%	2256
u-valvott	512	0.0001%	1134	0.00015%	1646
u-hyalier	31701	0.0041%	1129	0.00015%	32830
edta-veril	103	0.0000%	1129	0.00015%	1232
u-huum-7,ph	178	0.0000%	1128	0.00015%	1306
sy-ly+mono	4070	0.0005%	1127	0.00015%	5197
b-glukhoi	2045	0.0003%	1126	0.00015%	3171
p-trigly	164916	0.0213%	1123	0.00014%	166039
l-eos%	156800	0.0202%	1122	0.00014%	157922
s-kors/r	1850	0.0002%	1122	0.00014%	2972
s-pölyeri	854	0.0001%	1122	0.00014%	1976
b-hla1pk	143	0.0000%	1122	0.00014%	1265
l-neut-m	28523	0.0037%	1121	0.00014%	29644
fl-flag	293	0.0000%	1117	0.00014%	1410
-cdt	1068	0.0001%	1116	0.00014%	2184
s-rcora14	497	0.0001%	1113	0.00014%	1610
s-bartab	194	0.0000%	1108	0.00014%	1302
oma-kol	804	0.0001%	1106	0.00014%	1910
__-rsvnho	142	0.0000%	1104	0.00014%	1246
vb-hco3	17402	0.0022%	1098	0.00014%	18500
b-hkrhoi	909	0.0001%	1097	0.00014%	2006
b-hepartp	230	0.0000%	1093	0.00014%	1323
sy-l/yksit	2103	0.0003%	1092	0.00014%	3195
sy-l/liusk	2102	0.0003%	1092	0.00014%	3194
-troptqpi	239	0.0000%	1092	0.00014%	1331
fp-ca-ion.	127820	0.0165%	1091	0.00014%	128911
p-bil-lap	50408	0.0065%	1091	0.00014%	51499
f-mm-o	330	0.0000%	1088	0.00014%	1418
s-teikab	212	0.0000%	1088	0.00014%	1300
u-kanna-o	113	0.0000%	1087	0.00014%	1200
pf-rf	359	0.0000%	1084	0.00014%	1443
b-t-cd8	11107	0.0014%	1083	0.00014%	12190
u-muuta	630	0.0001%	1082	0.00014%	1712
cb-gluk	19816	0.0026%	1081	0.00014%	20897
e-luov-vr	269	0.0000%	1079	0.00014%	1348
l-baso%	59764	0.0077%	1078	0.00014%	60842
b-fiddp	4917	0.0006%	1078	0.00014%	5995
p-reumafa	353	0.0000%	1078	0.00014%	1431
p-tni-o	431	0.0001%	1077	0.00014%	1508
ab-laktaat	19806	0.0026%	1071	0.00014%	20877
l-blastit*	814	0.0001%	1071	0.00014%	1885
l-promyel*	814	0.0001%	1071	0.00014%	1885
f-hb-hum	904	0.0001%	1068	0.00014%	1972
fluor,nat,fl-leuk	189	0.0000%	1066	0.00014%	1255
-activi	164	0.0000%	1066	0.00014%	1230
baso	265452	0.0343%	1062	0.00014%	266514
s-glpepabg	1002	0.0001%	1062	0.00014%	2064
fluor,nat,fl-hiiva	195	0.0000%	1060	0.00014%	1255
fluor,nat,fl-clue	193	0.0000%	1060	0.00014%	1253
fluor,nat,muuta	188	0.0000%	1059	0.00014%	1247
l-lymf-m	24389	0.0031%	1058	0.00014%	25447
l-lymf-m	238	0.0000%	1058	0.00014%	1296
b-calr-d	136	0.0000%	1057	0.00014%	1193
ghb-a1c(vo.hoitaja)	1542	0.0002%	1056	0.00014%	2598
u-alb-lb	1180	0.0002%	1056	0.00014%	2236
s-anca-c	105	0.0000%	1055	0.00014%	1160
vb-pco2-vt	1686	0.0002%	1054	0.00014%	2740
ly-t-cd4/8	5889	0.0008%	1052	0.00014%	6941
b-hla1mun	123	0.0000%	1049	0.00014%	1172
b-ghba1c/p	3115	0.0004%	1048	0.00014%	4163
u-metadct	312	0.0000%	1043	0.00013%	1355
e-cmbiga	252	0.0000%	1043	0.00013%	1295
e-cmbigg	252	0.0000%	1043	0.00013%	1295
e-cmbigm	252	0.0000%	1043	0.00013%	1295
näköseula	230	0.0000%	1043	0.00013%	1273
li-lmark-h	273	0.0000%	1041	0.00013%	1314
e-cmbc3c	252	0.0000%	1041	0.00013%	1293
e-cmbc3d	252	0.0000%	1041	0.00013%	1293
s-ancif	308	0.0000%	1040	0.00013%	1348
oma-troponiini	223	0.0000%	1040	0.00013%	1263
u-huum-10,ph	831	0.0001%	1039	0.00013%	1870
s-ck-is	154	0.0000%	1039	0.00013%	1193
li-muut	319	0.0000%	1038	0.00013%	1357
s-igf1	37114	0.0048%	1034	0.00013%	38148
inrvieri	7569	0.0010%	1034	0.00013%	8603
vb-bepika	4544	0.0006%	1034	0.00013%	5578
s-gliade	225	0.0000%	1030	0.00013%	1255
b-t-cd3	11055	0.0014%	1029	0.00013%	12084
s-gbmif	135	0.0000%	1020	0.00013%	1155
pf-amyl	2182	0.0003%	1018	0.00013%	3200
lymf	272789	0.0352%	1017	0.00013%	273806
u-ca	11368	0.0015%	1017	0.00013%	12385
pf-liuskat	1313	0.0002%	1015	0.00013%	2328
psavapaanjatotaalinsuhde	285	0.0000%	1010	0.00013%	1295
b-brcay-d	197	0.0000%	1008	0.00013%	1205
s-adali	2279	0.0003%	1003	0.00013%	3282
pt-gfr	268	0.0000%	1002	0.00013%	1270
pt-ttr+inr	3327	0.0004%	999	0.00013%	4326
b-lydikll	378	0.0000%	998	0.00013%	1376
s-rcora9e	1236	0.0002%	995	0.00013%	2231
tropopika	122	0.0000%	995	0.00013%	1117
s-hhv6abg	2986	0.0004%	994	0.00013%	3980
s-ruoer	453	0.0001%	994	0.00013%	1447
s-aitendo	110	0.0000%	993	0.00013%	1103
s-mantele	3110	0.0004%	991	0.00013%	4101
vb-ahco3vt	1482	0.0002%	989	0.00013%	2471
s-ucrp	7332	0.0009%	988	0.00013%	8320
p-fiddpik	3441	0.0004%	986	0.00013%	4427
tupakka	5709	0.0007%	983	0.00013%	6692
s-psavapaanjatotaalinsuhde	559	0.0001%	982	0.00013%	1541
as-mononuk	1308	0.0002%	981	0.00013%	2289
pika-crptyöterveysasemalla	1367	0.0002%	979	0.00013%	2346
gluteeni	132	0.0000%	976	0.00013%	1108
s-bor-abg	384	0.0000%	973	0.00013%	1357
s-igg-oc	3450	0.0004%	967	0.00012%	4417
mono	176377	0.0228%	962	0.00012%	177339
beta1-glob	10528	0.0014%	960	0.00012%	11488
b-gluk-pika	330	0.0000%	958	0.00012%	1288
b-edtatutk	161	0.0000%	957	0.00012%	1118
ap-cl	1113	0.0001%	955	0.00012%	2068
eos	237731	0.0307%	950	0.00012%	238681
b-gluk-o	1144	0.0001%	947	0.00012%	2091
cb-inr-o	5068	0.0007%	945	0.00012%	6013
pef-seurantavastaanotolla	512	0.0001%	943	0.00012%	1455
b-biodna	349	0.0000%	943	0.00012%	1292
pt-kt/v1	10137	0.0013%	941	0.00012%	11078
s-scc-ag	2421	0.0003%	940	0.00012%	3361
s-bor-abm	418	0.0001%	940	0.00012%	1358
b-panel-m	328	0.0000%	940	0.00012%	1268
nu-alb	3647	0.0005%	933	0.00012%	4580
p-luakrvv	10519	0.0014%	932	0.00012%	11451
ab-shco3	286534	0.0370%	931	0.00012%	287465
-urpanho	145	0.0000%	931	0.00012%	1076
ts-abortti	197	0.0000%	930	0.00012%	1127
b-cyp2d6	140	0.0000%	929	0.00012%	1069
s-kysc	24678	0.0032%	924	0.00012%	25602
s-ebvabm	6930	0.0009%	923	0.00012%	7853
igakeli	269	0.0000%	923	0.00012%	1192
p-at3	80487	0.0104%	922	0.00012%	81409
s-inaabcf	395	0.0001%	922	0.00012%	1317
p-haptog	47666	0.0062%	921	0.00012%	48587
s-risper	1294	0.0002%	921	0.00012%	2215
s-nbosd6e	595	0.0001%	921	0.00012%	1516
fp-c-vit	397	0.0001%	920	0.00012%	1317
uv-pco2	15514	0.0020%	918	0.00012%	16432
p-tnt-hoi	121	0.0000%	915	0.00012%	1036
s-mogab	366	0.0000%	912	0.00012%	1278
c-anca	118	0.0000%	911	0.00012%	1029
p-luakptt	10579	0.0014%	906	0.00012%	11485
ly-t-cd3	11226	0.0014%	904	0.00012%	12130
pd-solut	1114	0.0001%	904	0.00012%	2018
s-kaseiie	3702	0.0005%	903	0.00012%	4605
li-laktaat	16579	0.0021%	902	0.00012%	17481
s-trypt	10557	0.0014%	899	0.00012%	11456
s-mpnabcf	170	0.0000%	898	0.00012%	1068
ly-nk	11165	0.0014%	897	0.00012%	12062
di-ph	1941	0.0003%	897	0.00012%	2838
s-hbs-ab	475	0.0001%	894	0.00012%	1369
b-b-cd19	11403	0.0015%	893	0.00012%	12296
p-hok	137	0.0000%	893	0.00012%	1030
pt-fib-4	4292	0.0006%	888	0.00011%	5180
b-pcr-kim	517	0.0001%	886	0.00011%	1403
-staupvl	146	0.0000%	886	0.00011%	1032
s-dheas	15356	0.0020%	883	0.00011%	16239
as-gran	909	0.0001%	882	0.00011%	1791
afossuoli	1115	0.0001%	878	0.00011%	1993
p-fviii	10497	0.0014%	877	0.00011%	11374
vb-caionvt	1174	0.0002%	876	0.00011%	2050
s-stpn5	875	0.0001%	874	0.00011%	1749
cv-trinho	193	0.0000%	873	0.00011%	1066
vb-hco3-st	210675	0.0272%	872	0.00011%	211547
vb-laktaat	24655	0.0032%	869	0.00011%	25524
b-mono	501138	0.0647%	867	0.00011%	502005
fs-c-pept	33584	0.0043%	863	0.00011%	34447
vehnä,ruok	646	0.0001%	863	0.00011%	1509
-solut	497	0.0001%	863	0.00011%	1360
uv-po2	12041	0.0016%	862	0.00011%	12903
as-lymf	474	0.0001%	860	0.00011%	1334
s-tpo-ab	686	0.0001%	859	0.00011%	1545
ly-b-cd19	6329	0.0008%	854	0.00011%	7183
f-veri-o	925	0.0001%	840	0.00011%	1765
u-opiaact	150	0.0000%	837	0.00011%	987
p-gluk-2h	8526	0.0011%	833	0.00011%	9359
b-hla-bw	116	0.0000%	832	0.00011%	948
u-osmol	34099	0.0044%	831	0.00011%	34930
s-legiabm	176	0.0000%	830	0.00011%	1006
f-transf2	354	0.0000%	828	0.00011%	1182
s-legiabg	179	0.0000%	827	0.00011%	1006
s-chtraba	253	0.0000%	825	0.00011%	1078
nu-alb-mi	1313	0.0002%	821	0.00011%	2134
ts-tcr-d	106	0.0000%	818	0.00011%	924
s-etohgc	620	0.0001%	817	0.00011%	1437
oma-inr-pika	110	0.0000%	816	0.00011%	926
-llajitt	239	0.0000%	815	0.00011%	1054
p-anca	216	0.0000%	815	0.00011%	1031
s-aitpara	365	0.0000%	813	0.00010%	1178
fp-cga	20672	0.0027%	812	0.00010%	21484
neut	242753	0.0313%	810	0.00010%	243563
pf-neut	4833	0.0006%	810	0.00010%	5643
cp-glukpaa	771	0.0001%	809	0.00010%	1580
tntvieri	125	0.0000%	809	0.00010%	934
s-tni	634	0.0001%	808	0.00010%	1442
s-anca-p	354	0.0000%	806	0.00010%	1160
p-d-25	149611	0.0193%	805	0.00010%	150416
vb-temp	24533	0.0032%	805	0.00010%	25338
s-prog	12374	0.0016%	805	0.00010%	13179
vieri-inr	4544	0.0006%	805	0.00010%	5349
s-stpn1	986	0.0001%	803	0.00010%	1789
u-albkrlb	717	0.0001%	802	0.00010%	1519
s-igd	998	0.0001%	801	0.00010%	1799
u-albkrea*	1860	0.0002%	798	0.00010%	2658
s-insu	26209	0.0034%	796	0.00010%	27005
s-b2miglo	18657	0.0024%	796	0.00010%	19453
u-leukla	23531	0.0030%	793	0.00010%	24324
u-erytla	23527	0.0030%	793	0.00010%	24320
s-stpn4	956	0.0001%	793	0.00010%	1749
s-aitneu	717	0.0001%	793	0.00010%	1510
u-epitla	23526	0.0030%	790	0.00010%	24316
u-lierla	23509	0.0030%	790	0.00010%	24299
s-ovarab	149	0.0000%	789	0.00010%	938
p-prealb	54885	0.0071%	787	0.00010%	55672
glukoosi(hoitaja)	4389	0.0006%	784	0.00010%	5173
audit	5616	0.0007%	783	0.00010%	6399
hpvnho	377	0.0000%	782	0.00010%	1159
s-hcgo-lb	126	0.0000%	782	0.00010%	908
cu-kesto	7913	0.0010%	781	0.00010%	8694
us-t4-v	903	0.0001%	777	0.00010%	1680
u-makrof	1385	0.0002%	776	0.00010%	2161
alfa2-glob	10885	0.0014%	775	0.00010%	11660
s-rarah6e	3584	0.0005%	770	0.00010%	4354
b-vrabtu	918	0.0001%	767	0.00010%	1685
p-jcvnh	228	0.0000%	766	0.00010%	994
kilpirauhastutkimuspaketti	165	0.0000%	765	0.00010%	930
ab-hco3-st	365385	0.0472%	764	0.00010%	366149
b-hemocue	1509	0.0002%	763	0.00010%	2272
s-stpn14	988	0.0001%	762	0.00010%	1750
u-as-i	241	0.0000%	760	0.00010%	1001
bm-lydikll	213	0.0000%	760	0.00010%	973
f-calpro2	3327	0.0004%	756	0.00010%	4083
s-hladsa	223	0.0000%	755	0.00010%	978
ly-t-cd8	7123	0.0009%	753	0.00010%	7876
s-pl7ab-o	398	0.0001%	753	0.00010%	1151
s-jo1ab-o	398	0.0001%	753	0.00010%	1151
s-kuab-o	398	0.0001%	753	0.00010%	1151
s-ejab-o	398	0.0001%	753	0.00010%	1151
s-srpab-o	398	0.0001%	753	0.00010%	1151
s-pm75abo	398	0.0001%	753	0.00010%	1151
s-pm100-o	398	0.0001%	753	0.00010%	1151
s-pl12-o	398	0.0001%	753	0.00010%	1151
s-ojab-o	397	0.0001%	753	0.00010%	1150
s-ssa52-o	397	0.0001%	753	0.00010%	1150
s-hcg-b	618	0.0001%	752	0.00010%	1370
s-envabcf	536	0.0001%	750	0.00010%	1286
s-alfgale	1144	0.0001%	746	0.00010%	1890
pt-lämpöt	352502	0.0455%	745	0.00010%	353247
s-infliks	5373	0.0007%	744	0.00010%	6117
la-cd34-ks	195	0.0000%	744	0.00010%	939
-hcvnho	183	0.0000%	740	0.00010%	923
s-stpn9v	1012	0.0001%	737	0.00010%	1749
cu-tilav	7715	0.0010%	733	0.00009%	8448
cb-inr-vt	2545	0.0003%	733	0.00009%	3278
fp-gluk-0h	2552	0.0003%	732	0.00009%	3284
s-stpn6b	1019	0.0001%	732	0.00009%	1751
s-ana(ait)	488	0.0001%	732	0.00009%	1220
-unäkö-n	472	0.0001%	732	0.00009%	1204
s-raiheie	435	0.0001%	732	0.00009%	1167
s-lehmäe	657	0.0001%	730	0.00009%	1387
ts-lisähis	414	0.0001%	730	0.00009%	1144
ab-hbo2	572302	0.0739%	726	0.00009%	573028
am-kromos	119	0.0000%	726	0.00009%	845
u-pyr	261	0.0000%	725	0.00009%	986
-diffi	471	0.0001%	724	0.00009%	1195
vb-gluk	22917	0.0030%	723	0.00009%	23640
s-adeabcf	571	0.0001%	723	0.00009%	1294
s-ancabk	670	0.0001%	722	0.00009%	1392
l-basof	165252	0.0213%	718	0.00009%	165970
p-preurea	6160	0.0008%	717	0.00009%	6877
s-lepp�e	724	0.0001%	716	0.00009%	1440
b-gluk-pi	344	0.0000%	715	0.00009%	1059
p-il6	1296	0.0002%	714	0.00009%	2010
b-edta	331	0.0000%	714	0.00009%	1045
b-caionpf	2846	0.0004%	713	0.00009%	3559
fs-gluk	130796	0.0169%	709	0.00009%	131505
b-hb-f	3674	0.0005%	709	0.00009%	4383
l-neutr	142941	0.0184%	708	0.00009%	143649
